ALUTs,Registers,Logic Utilization,DSP Blocks,Memory Bits,RAM Blocks,Actual Clock Freq,Kernel fmax,1x clock fmax,ALMs needed [=A-B+C],ALMs used in final placement [=a+b+c+d],ALMs used for LUT logic & registers,ALMs used for LUT logic,ALMs used for registers,ALMs used for memory (up to half of total ALMs),Estimate of ALMs recoverable by dense packing,Due to LAB-wide signal conflicts,Due to LAB input limits,Total LABs: partially or completely used,Logic LABs,Memory LABs (up to half of total LABs),Combinational ALUT usage for logic,7 input functions,6 input functions,5 input functions,4 input functions,<=3 input functions,Memory ALUT usage,32-address deep,Dedicated logic registers,Primary logic registers,Design Implementation registers,M20K blocks,Total MLAB memory bits,Total block memory bits,Total block memory implementation bits,Total DSP Blocks,Total Fixed Point DSP Blocks,Total Floating Point DSP Blocks,Maximum fan-out,Total Fan-out,Average fan-out,Two Independent 18x18,Sum of two 18x18,Independent 27x27,Floating Point Multiplier,Floating Point Adder,Floating Point Addition of Products,Floating Point Vector Mode 1,Floating Point Vector Mode 2,Floating Point Accumulation of Products,Total Number of DSP Blocks,Fixed Point Signed Multiplier,Fixed Point Unsigned Multiplier,Fixed Point Mixed Sign Multiplier,Fixed Point Dedicated Output Adder Chain,Block Interconnects,C27 Interconnects,C4 interconnects,Direct Links,R3 Interconnects,R32 Interconnects,R32/C27 Interconnect drivers,R6 Interconnects
284509,411835,0.54,0.22,0.1,0.2,229.9516902,229.99,229.99,229218,0.68,73973,76358,125473,15730,0.16,135,144,0.94,38407,1573,259578,435,74553,34644,43118,106828,24931,24931,411835,0.47,410106,0.2,155083,0.1,0.2,0.22,334,0,407582,2813863,3.95,1,1,332,0,0,0,0,0,0,334,0,335,0,83,0.28,0.43,0.27,0.05,0.25,0.39,0.1,0.25
293362,423607,0.55,0.23,0.1,0.2,231.9999994,232.01,232.01,235614,0.7,76685,76917,128629,16250,0.16,176,125,0.94,38675,1625,267613,343,76935,35767,44461,110107,25749,25749,423607,0.48,421878,0.2,159422,0.1,0.2,0.23,346,0,421082,2889189,3.94,1,1,344,0,0,0,0,0,0,346,0,347,0,86,0.29,0.37,0.27,0.05,0.26,0.35,0.09,0.27
302467,435600,0.57,0.24,0.1,0.2,232.3232317,232.39,232.39,242310,0.72,79243,79522,131861,16830,0.16,309,131,0.95,39064,1683,275796,354,79497,36926,45549,113470,26671,26671,435600,0.49,433871,0.2,164337,0.1,0.2,0.24,358,0,435027,2966401,3.93,1,1,356,0,0,0,0,0,0,358,0,359,0,89,0.3,0.47,0.28,0.05,0.26,0.38,0.1,0.27
302902,443889,0.57,0.24,0.11,0.26,232.0987649,232.12,232.12,242193,0.72,81141,80208,134034,12130,0.16,139,121,0.95,39360,1213,281677,363,82054,37906,46999,114355,21225,21225,443889,0.5,442160,0.26,54556,0.11,0.26,0.24,370,0,445050,3007709,3.92,1,1,368,0,0,0,0,0,0,370,0,371,0,92,0.3,0.35,0.27,0.05,0.26,0.34,0.09,0.27
55283,169776,0.19,0.26,0.14,0.4,239.3939387,239.8,239.8,83004,0.23,13318,16937,68921,960,0.05,594,27,0.54,22882,96,53650,130,8306,5479,11129,28606,1633,1633,169776,0.19,168047,0.4,40456,0.14,0.4,0.26,8,384,159758,1383342,5.33,4,4,0,128,0,256,0,0,0,392,0,12,0,0,0.11,0.36,0.13,0.01,0.12,0.36,0.08,0.15
65264,190242,0.23,0.34,0.12,0.38,226.9005842,226.96,226.96,96770,0.27,13306,18273,78879,6220,0.06,975,22,0.69,29002,622,55240,192,9457,6294,10785,28512,10024,10024,190242,0.22,188513,0.38,179204,0.12,0.38,0.34,8,512,195100,1520415,5.26,4,4,0,0,0,160,112,240,0,520,0,12,0,0,0.13,0.55,0.22,0.01,0.19,0.57,0.12,0.24
61884,117606,0.17,0.01,0.11,0.21,269.4444438,269.54,269.54,70591,0.17,16745,16095,39143,2060,0.02,66,10,0.3,12685,206,58892,694,8226,6343,10374,33255,2992,2992,117606,0.13,115877,0.21,89760,0.11,0.21,0.01,16,0,80193,1073735,5.37,8,8,0,0,0,0,0,0,0,16,0,24,0,0,0.08,0.23,0.08,0.01,0.08,0.22,0.05,0.09
86538,147539,0.21,0.01,0.68,0.97,156.2499996,156.395,221.43,90365,0.23,22986,23587,47554,4970,0.03,114,127,0.47,19699,497,80072,1778,14238,8792,14850,40414,6466,6466,147539,0.17,145810,0.97,186640,0.68,0.97,0.01,20,0,114166,1385569,5.39,10,10,0,0,0,0,0,0,0,20,0,30,0,0,0.13,0.45,0.14,0.01,0.14,0.39,0.09,0.14
39032,78274,0.12,0,0.1,0.16,189.3719802,189.42,189.42,51404,0.12,8855,12185,28303,370,0,3,2,0.2,8674,37,38366,104,5211,3819,7528,21704,666,666,78274,0.09,76545,0.16,21312,0.1,0.16,0,2,0,45962,758082,5.66,1,1,0,0,0,0,0,0,0,2,0,3,0,0,0.06,0.2,0.06,0,0.06,0.22,0.05,0.07
67447,122866,0.18,0,0.11,0.21,203.3333328,203.41,203.41,77569,0.2,14976,23905,44042,850,0.02,279,150,0.42,18057,85,65987,809,11672,12724,15359,25423,1460,1460,122866,0.14,121137,0.21,32544,0.11,0.21,0,4,0,83962,1097103,5.21,2,2,0,0,0,0,0,0,0,4,0,6,0,0,0.09,0.33,0.11,0.01,0.1,0.3,0.07,0.11
